PERIODO,MES,TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
2026,Marzo,BANCA MULTIPLE,Total Banca Múltiple,TOTAL,3.4909999999999997,4193166.58979
2026,Marzo,BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,MN,3.4909999999999997,1107783.37702
2026,Marzo,BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,ME,3.4909999999999997,841706.05756
2026,Marzo,BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,TOTAL,3.4909999999999997,1949489.43458
2026,Marzo,BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",MN,3.4909999999999997,2455405.082990001
2026,Marzo,BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",ME,3.4909999999999997,1737761.5067500006
2026,Marzo,BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",TOTAL,3.4909999999999997,4193166.5897399997
2025,Marzo,EMPRESA FINANCIERA,Financiera Santander Consumer,MN,3.668,36928.60094
2025,Marzo,EMPRESA FINANCIERA,Financiera Santander Consumer,ME,3.668,-8502.48627
2025,Marzo,EMPRESA FINANCIERA,Financiera Santander Consumer,TOTAL,3.668,28426.114670000003
2025,Marzo,EMPRESA FINANCIERA,Financiera Confianza,MN,3.668,9957.793220000001
2025,Marzo,EMPRESA FINANCIERA,Financiera Confianza,ME,3.668,-1031.7104
2025,Marzo,EMPRESA FINANCIERA,Financiera Confianza,TOTAL,3.668,8926.08282
2025,Marzo,EMPRESA FINANCIERA,Financiera Efectiva,MN,3.668,22677.92438
2025,Marzo,EMPRESA FINANCIERA,Financiera Efectiva,ME,3.668,-1322.8050700000001
2025,Marzo,EMPRESA FINANCIERA,Financiera Efectiva,TOTAL,3.668,21355.11931
2025,Marzo,EMPRESA FINANCIERA,Financiera Qapaq,MN,3.668,-546.30741
2025,Marzo,EMPRESA FINANCIERA,Financiera Qapaq,ME,3.668,2050.79747
2025,Marzo,EMPRESA FINANCIERA,Financiera Qapaq,TOTAL,3.668,1504.49006
2025,Marzo,EMPRESA FINANCIERA,Financiera Oh!,MN,3.668,23239.893210000002
2025,Marzo,EMPRESA FINANCIERA,Financiera Oh!,ME,3.668,-14137.16415
2025,Marzo,EMPRESA FINANCIERA,Financiera Oh!,TOTAL,3.668,9102.72906
2025,Marzo,EMPRESA FINANCIERA,Mitsui Auto Finance,MN,3.668,15600.93298
2025,Marzo,EMPRESA FINANCIERA,Mitsui Auto Finance,ME,3.668,3227.47462
2025,Marzo,EMPRESA FINANCIERA,Mitsui Auto Finance,TOTAL,3.668,18828.407600000002
2025,Marzo,EMPRESA FINANCIERA,Financiera Proempresa,MN,3.668,-2162.77937
2025,Marzo,EMPRESA FINANCIERA,Financiera Proempresa,ME,3.668,-1188.82304
2025,Marzo,EMPRESA FINANCIERA,Financiera Proempresa,TOTAL,3.668,-3351.60241
