PRODUCTO,DEPARTAMENTO,PROVINCIA,DISTRITO,P_PROMEDIO,P_MIN,P_MAX,P_SD,N_GRIFOS
GLP - G,LIMA,LIMA,MIRAFLORES,8.49,8.49,8.49,0,2
GLP - G,LIMA,LIMA,PACHACAMAC,7.88,6.91,8.33,0.6642288762166244,4
GLP - G,LIMA,LIMA,PUCUSANA,6.99,6.99,6.99,0,1
GLP - G,LIMA,LIMA,PUEBLO LIBRE,8.275714285714285,7.59,8.99,0.460827413205752,7
GLP - G,LIMA,LIMA,PUENTE PIEDRA,6.8438888888888885,6.57,7.49,0.24107940817446777,18
GLP - G,LIMA,LIMA,PUNTA HERMOSA,7.79,7.79,7.79,0,1
GLP - G,LIMA,LIMA,RIMAC,8.654,8.41,8.89,0.2246775467197381,5
GLP - G,LIMA,LIMA,SAN BORJA,8.056666666666667,7.59,8.29,0.4041451884327376,3
GLP - G,LIMA,LIMA,SAN ISIDRO,9.19,8.79,9.99,0.4690415759823432,5
GLP - G,LIMA,LIMA,SAN JUAN DE LURIGANCHO,7.9809090909090905,7.29,8.99,0.41030753432915734,33
GLP - G,LIMA,LIMA,SAN JUAN DE MIRAFLORES,7.973333333333334,7.39,8.99,0.5076169815914358,9
GLP - G,LIMA,LIMA,SAN LUIS,7.305,6.79,7.79,0.37755794257305725,6
GLP - G,LIMA,LIMA,SAN MARTIN DE PORRES,7.091363636363637,6.49,7.99,0.38845598456974756,22
GLP - G,LIMA,LIMA,SAN MIGUEL,8.50625,7.99,8.85,0.3394086243537636,8
GLP - G,LIMA,LIMA,SANTA ANITA,7.288,7.08,7.99,0.3932810699741345,5
GLP - G,LIMA,LIMA,SANTA ROSA,8.89,8.89,8.89,0,1
GLP - G,LIMA,LIMA,SANTIAGO DE SURCO,8.208571428571428,7.92,8.55,0.18384178577734223,14
GLP - G,LIMA,LIMA,SURQUILLO,8.738333333333333,8.29,9.89,0.5865293399879217,6
GLP - G,LIMA,LIMA,VILLA EL SALVADOR,7.364210526315789,6.94,8.29,0.37172743583129225,19
GLP - G,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,7.832,7.12,8.99,0.5376961436137914,15
