TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
CAJAS MUNICIPALES,CMAC Piura,MN,3.4909999999999997,86757.9768
CAJAS MUNICIPALES,CMAC Piura,ME,3.4909999999999997,-8254.05909
CAJAS MUNICIPALES,CMAC Piura,TOTAL,3.4909999999999997,78503.91771
CAJAS MUNICIPALES,CMAC Tacna,MN,3.4909999999999997,5937.27927
CAJAS MUNICIPALES,CMAC Tacna,ME,3.4909999999999997,-635.0444699999999
CAJAS MUNICIPALES,CMAC Tacna,TOTAL,3.4909999999999997,5302.2348
CAJAS MUNICIPALES,CMAC Trujillo,MN,3.4909999999999997,18609.843820000002
CAJAS MUNICIPALES,CMAC Trujillo,ME,3.4909999999999997,-249.12664
CAJAS MUNICIPALES,CMAC Trujillo,TOTAL,3.4909999999999997,18360.71718
CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,MN,3.4909999999999997,379670.34474
CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,ME,3.4909999999999997,-46819.719
CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,TOTAL,3.4909999999999997,332850.62574
CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,MN,3.4909999999999997,5462.33953
CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,ME,3.4909999999999997,1144.53493
CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,TOTAL,3.4909999999999997,6606.87446
CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,MN,3.4909999999999997,385132.6842699999
CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,ME,3.4909999999999997,-45675.18407
CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,TOTAL,3.4909999999999997,339457.50019999995
CAJAS RURALES,CRAC Censosud Scotia,MN,3.4909999999999997,2490.55337
CAJAS RURALES,CRAC Censosud Scotia,ME,3.4909999999999997,-234.8812
CAJAS RURALES,CRAC Censosud Scotia,TOTAL,3.4909999999999997,2255.67217
CAJAS RURALES,CRAC Los Andes,MN,3.4909999999999997,3572.31127
CAJAS RURALES,CRAC Los Andes,ME,3.4909999999999997,-1479.43476
CAJAS RURALES,CRAC Los Andes,TOTAL,3.4909999999999997,2092.87651
CAJAS RURALES,CRAC Prymera,MN,3.4909999999999997,-246.99905
CAJAS RURALES,CRAC Prymera,ME,3.4909999999999997,554.59376
CAJAS RURALES,CRAC Prymera,TOTAL,3.4909999999999997,307.59470999999996
CAJAS RURALES,CRAC Incasur,MN,3.4909999999999997,10.24027
CAJAS RURALES,CRAC Incasur,ME,3.4909999999999997,35.2505
CAJAS RURALES,CRAC Incasur,TOTAL,3.4909999999999997,45.490770000000005
CAJAS RURALES,CRAC del Centro,MN,3.4909999999999997,-2259.47544
CAJAS RURALES,CRAC del Centro,ME,3.4909999999999997,63.9641
CAJAS RURALES,CRAC del Centro,TOTAL,3.4909999999999997,-2195.51134
CAJAS RURALES,TOTAL CAJAS RURALES DE AHORRO Y CREDITO,MN,3.4909999999999997,3566.6304200000004
CAJAS RURALES,TOTAL CAJAS RURALES DE AHORRO Y CREDITO,ME,3.4909999999999997,-1060.5076
CAJAS RURALES,TOTAL CAJAS RURALES DE AHORRO Y CREDITO,TOTAL,3.4909999999999997,2506.1228199999996
