PERIODO,MES,TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
2026,Marzo,BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,TOTAL,3.4909999999999997,1949489.43458
2026,Marzo,BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",MN,3.4909999999999997,2455405.082990001
2026,Marzo,BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",ME,3.4909999999999997,1737761.5067500006
2026,Marzo,BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",TOTAL,3.4909999999999997,4193166.5897399997
2026,Marzo,EMPRESA FINANCIERA,Financiera Confianza,MN,3.4909999999999997,18861.90593
2026,Marzo,EMPRESA FINANCIERA,Financiera Confianza,ME,3.4909999999999997,60.62057
2026,Marzo,EMPRESA FINANCIERA,Financiera Confianza,TOTAL,3.4909999999999997,18922.5265
2026,Marzo,EMPRESA FINANCIERA,Financiera Efectiva,MN,3.4909999999999997,30664.102300000002
2026,Marzo,EMPRESA FINANCIERA,Financiera Efectiva,ME,3.4909999999999997,-2213.83135
2026,Marzo,EMPRESA FINANCIERA,Financiera Efectiva,TOTAL,3.4909999999999997,28450.27095
2026,Marzo,EMPRESA FINANCIERA,Financiera Qapaq,MN,3.4909999999999997,2484.5618999999997
2026,Marzo,EMPRESA FINANCIERA,Financiera Qapaq,ME,3.4909999999999997,3635.78524
2026,Marzo,EMPRESA FINANCIERA,Financiera Qapaq,TOTAL,3.4909999999999997,6120.34714
2026,Marzo,EMPRESA FINANCIERA,InFinance XP,MN,3.4909999999999997,27907.23671
2026,Marzo,EMPRESA FINANCIERA,InFinance XP,ME,3.4909999999999997,-20082.740449999998
2026,Marzo,EMPRESA FINANCIERA,InFinance XP,TOTAL,3.4909999999999997,7824.49626
2026,Marzo,EMPRESA FINANCIERA,Mitsui Auto Finance,MN,3.4909999999999997,16467.8669
2026,Marzo,EMPRESA FINANCIERA,Mitsui Auto Finance,ME,3.4909999999999997,5069.46317
2026,Marzo,EMPRESA FINANCIERA,Mitsui Auto Finance,TOTAL,3.4909999999999997,21537.33007
2026,Marzo,EMPRESA FINANCIERA,Financiera Proempresa,MN,3.4909999999999997,4152.55727
2026,Marzo,EMPRESA FINANCIERA,Financiera Proempresa,ME,3.4909999999999997,-905.55053
2026,Marzo,EMPRESA FINANCIERA,Financiera Proempresa,TOTAL,3.4909999999999997,3247.0067400000003
2026,Marzo,EMPRESA FINANCIERA,Financiera Surgir,MN,3.4909999999999997,1243.2703600000002
2026,Marzo,EMPRESA FINANCIERA,Financiera Surgir,ME,3.4909999999999997,-205.86359
2026,Marzo,EMPRESA FINANCIERA,Financiera Surgir,TOTAL,3.4909999999999997,1037.40677
2026,Marzo,EMPRESA FINANCIERA,Total Empresas Financieras,MN,3.4909999999999997,101781.50137
2026,Marzo,EMPRESA FINANCIERA,Total Empresas Financieras,ME,3.4909999999999997,-14642.11694
2026,Marzo,EMPRESA FINANCIERA,Total Empresas Financieras,TOTAL,3.4909999999999997,87139.38442999999
2026,Marzo,CAJAS MUNICIPALES,CMAC Arequipa,MN,3.4909999999999997,78939.77228
2026,Marzo,CAJAS MUNICIPALES,CMAC Arequipa,ME,3.4909999999999997,-15258.43666
2026,Marzo,CAJAS MUNICIPALES,CMAC Arequipa,TOTAL,3.4909999999999997,63681.335620000005
2026,Marzo,CAJAS MUNICIPALES,CMAC Cusco,MN,3.4909999999999997,72079.89268
2026,Marzo,CAJAS MUNICIPALES,CMAC Cusco,ME,3.4909999999999997,-4382.3497800000005
2026,Marzo,CAJAS MUNICIPALES,CMAC Cusco,TOTAL,3.4909999999999997,67697.5429
2026,Marzo,CAJAS MUNICIPALES,CMAC Del Santa,MN,3.4909999999999997,262.4972
2026,Marzo,CAJAS MUNICIPALES,CMAC Del Santa,ME,3.4909999999999997,-143.86766
2026,Marzo,CAJAS MUNICIPALES,CMAC Del Santa,TOTAL,3.4909999999999997,118.62954
2026,Marzo,CAJAS MUNICIPALES,CMAC Huancayo,MN,3.4909999999999997,91965.75229
2026,Marzo,CAJAS MUNICIPALES,CMAC Huancayo,ME,3.4909999999999997,-11365.24017
2026,Marzo,CAJAS MUNICIPALES,CMAC Huancayo,TOTAL,3.4909999999999997,80600.51212
2026,Marzo,CAJAS MUNICIPALES,CMAC Ica,MN,3.4909999999999997,21096.869899999998
2026,Marzo,CAJAS MUNICIPALES,CMAC Ica,ME,3.4909999999999997,-5754.368530000001
2026,Marzo,CAJAS MUNICIPALES,CMAC Ica,TOTAL,3.4909999999999997,15342.501369999998
2026,Marzo,CAJAS MUNICIPALES,CMAC Maynas,MN,3.4909999999999997,2821.20048
2026,Marzo,CAJAS MUNICIPALES,CMAC Maynas,ME,3.4909999999999997,-755.9054699999999
2026,Marzo,CAJAS MUNICIPALES,CMAC Maynas,TOTAL,3.4909999999999997,2065.29501
2026,Marzo,CAJAS MUNICIPALES,CMAC Paita,MN,3.4909999999999997,1199.26002
2026,Marzo,CAJAS MUNICIPALES,CMAC Paita,ME,3.4909999999999997,-21.320529999999998
2026,Marzo,CAJAS MUNICIPALES,CMAC Paita,TOTAL,3.4909999999999997,1177.93949
2026,Marzo,CAJAS MUNICIPALES,CMAC Piura,MN,3.4909999999999997,86757.9768
2026,Marzo,CAJAS MUNICIPALES,CMAC Piura,ME,3.4909999999999997,-8254.05909
2026,Marzo,CAJAS MUNICIPALES,CMAC Piura,TOTAL,3.4909999999999997,78503.91771
2026,Marzo,CAJAS MUNICIPALES,CMAC Tacna,MN,3.4909999999999997,5937.27927
2026,Marzo,CAJAS MUNICIPALES,CMAC Tacna,ME,3.4909999999999997,-635.0444699999999
2026,Marzo,CAJAS MUNICIPALES,CMAC Tacna,TOTAL,3.4909999999999997,5302.2348
2026,Marzo,CAJAS MUNICIPALES,CMAC Trujillo,MN,3.4909999999999997,18609.843820000002
2026,Marzo,CAJAS MUNICIPALES,CMAC Trujillo,ME,3.4909999999999997,-249.12664
2026,Marzo,CAJAS MUNICIPALES,CMAC Trujillo,TOTAL,3.4909999999999997,18360.71718
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,MN,3.4909999999999997,379670.34474
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,ME,3.4909999999999997,-46819.719
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,TOTAL,3.4909999999999997,332850.62574
2026,Marzo,CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,MN,3.4909999999999997,5462.33953
2026,Marzo,CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,ME,3.4909999999999997,1144.53493
2026,Marzo,CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,TOTAL,3.4909999999999997,6606.87446
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,MN,3.4909999999999997,385132.6842699999
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,ME,3.4909999999999997,-45675.18407
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,TOTAL,3.4909999999999997,339457.50019999995
2026,Marzo,CAJAS RURALES,CRAC Censosud Scotia,MN,3.4909999999999997,2490.55337
2026,Marzo,CAJAS RURALES,CRAC Censosud Scotia,ME,3.4909999999999997,-234.8812
2026,Marzo,CAJAS RURALES,CRAC Censosud Scotia,TOTAL,3.4909999999999997,2255.67217
2026,Marzo,CAJAS RURALES,CRAC Los Andes,MN,3.4909999999999997,3572.31127
2026,Marzo,CAJAS RURALES,CRAC Los Andes,ME,3.4909999999999997,-1479.43476
2026,Marzo,CAJAS RURALES,CRAC Los Andes,TOTAL,3.4909999999999997,2092.87651
2026,Marzo,CAJAS RURALES,CRAC Prymera,MN,3.4909999999999997,-246.99905
2026,Marzo,CAJAS RURALES,CRAC Prymera,ME,3.4909999999999997,554.59376
2026,Marzo,CAJAS RURALES,CRAC Prymera,TOTAL,3.4909999999999997,307.59470999999996
2026,Marzo,CAJAS RURALES,CRAC Incasur,MN,3.4909999999999997,10.24027
2026,Marzo,CAJAS RURALES,CRAC Incasur,ME,3.4909999999999997,35.2505
2026,Marzo,CAJAS RURALES,CRAC Incasur,TOTAL,3.4909999999999997,45.490770000000005
2026,Marzo,CAJAS RURALES,CRAC del Centro,MN,3.4909999999999997,-2259.47544
2026,Marzo,CAJAS RURALES,CRAC del Centro,ME,3.4909999999999997,63.9641
2026,Marzo,CAJAS RURALES,CRAC del Centro,TOTAL,3.4909999999999997,-2195.51134
2026,Marzo,CAJAS RURALES,TOTAL CAJAS RURALES DE AHORRO Y CREDITO,MN,3.4909999999999997,3566.6304200000004
2026,Marzo,CAJAS RURALES,TOTAL CAJAS RURALES DE AHORRO Y CREDITO,ME,3.4909999999999997,-1060.5076
2026,Marzo,CAJAS RURALES,TOTAL CAJAS RURALES DE AHORRO Y CREDITO,TOTAL,3.4909999999999997,2506.1228199999996
